QueryNumber;Precision@10
00001;0.2
00002;0.2
00003;0.2
00004;0.0
00005;0.2
00006;0.2
00007;0.2
00008;0.1
00009;0.2
00010;0.4
00011;0.2
00012;0.0
00013;0.3
00014;0.2
00015;0.1
00016;0.0
00017;0.3
00018;0.6
00019;0.0
00020;0.4
00021;0.4
00022;0.0
00023;0.0
00024;0.1
00025;0.1
00026;0.2
00027;0.2
00028;0.3
00029;0.1
00030;0.2
00031;0.2
00032;0.3
00033;0.5
00034;0.2
00035;0.4
00036;0.1
00037;0.1
00038;0.0
00039;0.0
00040;0.0
00041;0.4
00042;0.6
00043;0.0
00044;0.1
00045;0.3
00046;0.3
00047;0.0
00048;0.1
00049;0.6
00050;0.3
00051;0.1
00052;0.1
00053;0.2
00054;0.1
00055;0.0
00056;0.0
00057;0.2
00058;0.1
00059;0.1
00060;0.2
00061;0.5
00062;0.0
00063;0.1
00064;0.2
00065;0.1
00066;0.2
00067;0.3
00068;0.0
00069;0.1
00070;0.3
00071;0.3
00072;0.4
00073;0.3
00074;0.3
00075;0.4
00076;0.3
00077;0.1
00078;0.0
00079;0.0
00080;0.2
00081;0.3
00082;0.0
00083;0.3
00084;0.3
00085;0.0
00086;0.1
00087;0.0
00088;0.1
00089;0.2
00090;0.6
00091;0.0
00092;0.2
00094;0.0
00095;0.3
00096;0.1
00097;0.3
00098;0.2
00099;0.3
00100;0.3
