QueryNumber;QueryTexto
00001;what are the effects of calcium on the physical properties of mucus from cf patients?
00002;can one distinguish between the effects of mucus hypersecretion and infection on the submucosal glands of the respiratory tract in cf?
00003;how are salivary glycoproteins from cf patients different from those of normal subjects?
00004;what is the lipid composition of cf respiratory secretions?
00005;is cf mucus abnormal?
00006;what is the effect of water or other therapeutic agents on the physical properties (viscosity, elasticity) of sputum or bronchial secretions from cf patients?
00007;are mucus glycoproteins degraded differently in cf patients as compared to those from normal subjects?
00008;what histochemical differences have been described between normal and cf respiratory epithelia?
00009;what is the association between liver disease (cirrhosis) and vitamin a metabolism in cf?
00010;what is the role of vitamin e in the therapy of patients with cf?
00011;what is the difference between meconium ileus and meconium plug syndrome?
00012;what abnormalities of amino acid transport have been described in the small bowel of cf patients?
00013;what are the clinical or biochemical features of pancreatitis in cf patients?
00014;what non-invasive tests can be performed for the evaluation of exocrine pancreatic function in patients with cf?
00015;what are the hepatic complications or manifestations of cf?
00016;what are the gastrointestinal complications of cf after the neonatal period (exclude liver disease and meconium ileus)?
00017;what is the most effective regimen for the use of pancreatic enzyme supplements in the treatment of cf patients?
00018;is dietary supplementation with bile salts of therapeutic benefit to cf patients?
00019;what complications of pancreatic enzyme therapy have been reported in cf patients?
00020;what is the effect of treatment of cf patients with essential fatty acid supplements?
00021;does pancreatic insufficiency in cf patients affect their ability to absorb or metabolize iron?
00022;what is the frequency of cf in non-caucasian populations?
00023;what congenital or hereditary diseases or conditions have been found in association with cf?
00024;what are the characteristics of patients in whom cf is incompletely manifested?
00025;what evidence is there that the genetic basis for cf involves more than one gene?
00026;what is the heterozygote advantage in cf?
00027;what is the concordance of clinical or biochemical manifestations of cf in sibling pairs (both of whom have cf)?
00028;what is the incidence of male fertility in cf?
00029;what is the pathology of the reproductive system (male or female) in cf?
00030;what are the results of genetic counseling of families of children with cf?
00031;what are the major psychological or social effects of cf on patients and their families?
00032;what factors influence compliance with prescribed therapy in cf patients?
00033;what conditions or factors lead to erroneous sweat tests?
00034;what alternative techniques other than the classical gibson-cooke quantitative pilocarpine iontophoresis test (with titrimetric analysis of chloride) are available for sweat testing what are their relative advantages and disadvantages?
00035;has any cf patient been found to have consistently normal sweat tests?
00036;what is the concentration of potassium in sweat from cf patients?
00037;what techniques are available for screening of newborn infants for cf, and what factors contribute to erroneous results of these tests?
00038;can cf be diagnosed prenatally?
00039;how may heterozygotes for cf be identified?
00040;other than the sweat test, what techniques may be useful (beyond the neonatal period) for the diagnosis of cf?
00041;is vitamin d metabolism normal in cf patients?
00042;what abnormalities of insulin secretion or insulin metabolism occur in cf patients?
00043;is salt (sodium and/or chloride) transport/permeability abnormal in cf?
00044;what structural or enzymatic differences are there between fibroblasts from cf patients and non-cf patients?
00045;what abnormalities of prostaglandin metabolism have been described in cf patients?
00046;what are the properties and activity of galactosyltransferase enzymes from cf patients?
00047;what differences between normal subjects and cf patients have been described in the function or metabolism of hormones?
00048;do fibroblasts from cf patients grow at a normal rate?
00049;is rna methylation or polyamine metabolism normal in cf patients?
00050;what defects in the synthesis or metabolism of cyclic nucleotides have been described in cf patients?
00051;what circulating or secreted "factors" have been described in cf patients? ("factors" are unidentified biologically active molecules thought to play some pathogenetic role in cystic fibrosis).
00052;what is known about prolactin in cf patients?
00053;does secretory iga protect cf patients against bacterial colonization or infection?
00054;what is the relationship of allergy or hypersensitivity to lung disease in cf patients?
00055;what are the interactions between proteases (endogenous or bacterial origin) and antiproteases in the lungs of cf patients?
00056;what is the relationship between nutrition and pulmonary host defenses against bacterial infection in cf patients?
00057;what is the pathophysiologic role of circulating antibodies to pseudomonas aeruginosa in cf patients?
00058;what is the immunologic response to pulmonary infection in cf patients?
00059;what immunologic abnormalities have been found in cf patients?
00060;what are the effects of cf on the pulmonary circulation?
00061;is there a defect in mucociliary transport (clearance) in the respiratory tract of cf patients?
00062;what are the clinical features of lung disease in cf patients?
